Ni_frac,Fe_frac,Co_frac,Cu_frac,Mo_frac,Mn_frac,Cr_frac,V_frac
0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0
0.0,0.0,0.413,0.587,0.0,0.0,0.0,0.0
0.0,0.0,0.425,0.575,0.0,0.0,0.0,0.0
0.0,0.0,0.438,0.562,0.0,0.0,0.0,0.0
0.0,0.0,0.45,0.55,0.0,0.0,0.0,0.0
0.0,0.0,0.462,0.538,0.0,0.0,0.0,0.0
0.0,0.0,0.475,0.525,0.0,0.0,0.0,0.0
0.0,0.0,0.488,0.512,0.0,0.0,0.0,0.0
0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
0.0,0.0,0.513,0.487,0.0,0.0,0.0,0.0
0.0,0.0,0.525,0.475,0.0,0.0,0.0,0.0
0.0,0.0,0.538,0.462,0.0,0.0,0.0,0.0
0.0,0.0,0.55,0.45,0.0,0.0,0.0,0.0
0.0,0.0,0.562,0.438,0.0,0.0,0.0,0.0
0.0,0.0,0.575,0.425,0.0,0.0,0.0,0.0
0.0,0.0,0.588,0.412,0.0,0.0,0.0,0.0
0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0
0.0,0.0,0.612,0.387,0.0,0.0,0.0,0.0
0.0,0.0,0.625,0.375,0.0,0.0,0.0,0.0
0.0,0.0,0.638,0.362,0.0,0.0,0.0,0.0
0.0,0.0,0.65,0.35,0.0,0.0,0.0,0.0
0.0,0.0,0.663,0.337,0.0,0.0,0.0,0.0
0.0,0.0,0.675,0.325,0.0,0.0,0.0,0.0
0.0,0.0,0.688,0.312,0.0,0.0,0.0,0.0
0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0
0.0,0.0,0.712,0.288,0.0,0.0,0.0,0.0
0.0,0.0,0.725,0.275,0.0,0.0,0.0,0.0
0.0,0.0,0.738,0.262,0.0,0.0,0.0,0.0
0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0
0.0,0.0,0.763,0.237,0.0,0.0,0.0,0.0
0.0,0.0,0.775,0.225,0.0,0.0,0.0,0.0
0.0,0.0,0.788,0.212,0.0,0.0,0.0,0.0
0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0
0.0,0.0,0.812,0.188,0.0,0.0,0.0,0.0
0.0,0.0,0.825,0.175,0.0,0.0,0.0,0.0
0.0,0.0,0.838,0.162,0.0,0.0,0.0,0.0
0.0,0.0,0.85,0.15,0.0,0.0,0.0,0.0
0.0,0.0,0.862,0.137,0.0,0.0,0.0,0.0
0.0,0.0,0.875,0.125,0.0,0.0,0.0,0.0
0.0,0.0,0.888,0.112,0.0,0.0,0.0,0.0
0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0
0.0,0.0,0.913,0.087,0.0,0.0,0.0,0.0
0.0,0.0,0.925,0.075,0.0,0.0,0.0,0.0
0.0,0.0,0.938,0.062,0.0,0.0,0.0,0.0
0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0
0.0,0.0,0.962,0.037,0.0,0.0,0.0,0.0
0.0,0.0,0.975,0.025,0.0,0.0,0.0,0.0
0.0,0.0,0.988,0.012,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.012,0.0,0.988,0.0,0.0,0.0,0.0
0.0,0.012,0.012,0.975,0.0,0.0,0.0,0.0
0.0,0.012,0.025,0.962,0.0,0.0,0.0,0.0
0.0,0.012,0.038,0.95,0.0,0.0,0.0,0.0
0.0,0.012,0.05,0.938,0.0,0.0,0.0,0.0
0.0,0.012,0.062,0.925,0.0,0.0,0.0,0.0
0.0,0.012,0.075,0.913,0.0,0.0,0.0,0.0
0.0,0.012,0.088,0.9,0.0,0.0,0.0,0.0
0.0,0.012,0.1,0.888,0.0,0.0,0.0,0.0
0.0,0.012,0.112,0.875,0.0,0.0,0.0,0.0
0.0,0.012,0.125,0.862,0.0,0.0,0.0,0.0
0.0,0.012,0.138,0.85,0.0,0.0,0.0,0.0
0.0,0.012,0.15,0.838,0.0,0.0,0.0,0.0
0.0,0.012,0.162,0.825,0.0,0.0,0.0,0.0
0.0,0.012,0.175,0.812,0.0,0.0,0.0,0.0
0.0,0.012,0.188,0.8,0.0,0.0,0.0,0.0
0.0,0.012,0.2,0.788,0.0,0.0,0.0,0.0
0.0,0.012,0.213,0.775,0.0,0.0,0.0,0.0
0.0,0.012,0.225,0.763,0.0,0.0,0.0,0.0
0.0,0.012,0.238,0.75,0.0,0.0,0.0,0.0
0.0,0.012,0.25,0.738,0.0,0.0,0.0,0.0
0.0,0.012,0.262,0.725,0.0,0.0,0.0,0.0
0.0,0.012,0.275,0.712,0.0,0.0,0.0,0.0
0.0,0.012,0.288,0.7,0.0,0.0,0.0,0.0
0.0,0.012,0.3,0.688,0.0,0.0,0.0,0.0
0.0,0.012,0.312,0.675,0.0,0.0,0.0,0.0
0.0,0.012,0.325,0.663,0.0,0.0,0.0,0.0
0.0,0.012,0.338,0.65,0.0,0.0,0.0,0.0
0.0,0.012,0.35,0.638,0.0,0.0,0.0,0.0
0.0,0.012,0.363,0.625,0.0,0.0,0.0,0.0
0.0,0.012,0.375,0.612,0.0,0.0,0.0,0.0
0.0,0.012,0.388,0.6,0.0,0.0,0.0,0.0
