Ni_frac,Fe_frac,Co_frac,Mo_frac,Cu_frac,Mn_frac,Cr_frac,V_frac,EN_mean,EN_std,EN_var,EN_mismatch,Radius_mean,Radius_std,Radius_var,Radius_mismatch,VEC,VEC_mismatch,mix_entropy,d_band_proxy,Predicted_DeltaG_H
0.05,0.34,0.61,0.0,0.0,0.0,0.0,0.0,1.8645,0.025588083163847895,0.000654749999999996,0.045499999999999874,127.33000000000001,3.358734880874047,11.2811,4.6699999999999875,8.71,2.0,0.8181026549893267,6.709999999999999,-0.022500000000000114
0.05,0.35,0.6,0.0,0.0,0.0,0.0,0.0,1.8639999999999999,0.02576819745345017,0.0006639999999999958,0.04600000000000004,127.4,3.3823069050575527,11.440000000000001,4.599999999999994,8.7,2.0,0.8237197316499862,6.699999999999999,-0.022366666666666778
0.05,0.36,0.59,0.0,0.0,0.0,0.0,0.0,1.8635000000000002,0.02593742469868579,0.0006727499999999956,0.046499999999999764,127.47,3.4042767220071872,11.5891,4.530000000000001,8.69,2.0,0.8288843807559674,6.6899999999999995,-0.022333333333333448
0.05,0.37,0.58,0.0,0.0,0.0,0.0,0.0,1.863,0.0260959767013997,0.0006809999999999958,0.04699999999999993,127.53999999999999,3.4246751670778934,11.728399999999997,4.460000000000008,8.68,2.0,0.8336017167092552,6.68,-0.022733333333333446
0.05,0.38,0.57,0.0,0.0,0.0,0.0,0.0,1.8624999999999998,0.02624404694402134,0.0006887499999999959,0.0475000000000001,127.61000000000001,3.4435301653971324,11.857900000000003,4.389999999999986,8.67,2.0,0.8378763271428212,6.67,-0.022566666666666776
0.05,0.39,0.56,0.0,0.0,0.0,0.0,0.0,1.862,0.026381811916545757,0.0006959999999999958,0.04799999999999982,127.68,3.460866943411723,11.977600000000004,4.319999999999993,8.66,2.0,0.8417123017022958,6.66,-0.021633333333333435
0.05,0.4,0.55,0.0,0.0,0.0,0.0,0.0,1.8615000000000002,0.026509432283623045,0.0007027499999999957,0.048499999999999766,127.75,3.476708213238494,12.0875,4.25,8.65,2.0,0.8451132569811078,6.65,-0.021683333333333436
0.05,0.41,0.54,0.0,0.0,0.0,0.0,0.0,1.8610000000000002,0.02662705391138861,0.0007089999999999955,0.04899999999999971,127.82,3.491074333210337,12.187599999999998,4.180000000000007,8.64,2.0,0.848082358011067,6.640000000000001,-0.021683333333333436
0.05,0.42,0.53,0.0,0.0,0.0,0.0,0.0,1.8605,0.02673480877058962,0.0007147499999999956,0.04949999999999988,127.89,3.5039834474494884,12.277900000000002,4.109999999999999,8.63,2.0,0.8506223366429021,6.63,-0.022800000000000112
0.05,0.43,0.52,0.0,0.0,0.0,0.0,0.0,1.86,0.026832815729997392,0.0007199999999999955,0.04999999999999982,127.96000000000001,3.515451606835173,12.3584,4.039999999999992,8.62,2.0,0.8527355070939673,6.62,-0.022800000000000112
0.05,0.44,0.51,0.0,0.0,0.0,0.0,0.0,1.8595000000000002,0.026921181251943524,0.0007247499999999955,0.05049999999999977,128.03,3.5254928733440947,12.4291,4.030000000000001,8.61,2.0,0.8544237788911003,6.61,-0.022800000000000112
0.05,0.45,0.5,0.0,0.0,0.0,0.0,0.0,1.859,0.026999999999999916,0.0007289999999999955,0.050999999999999934,128.1,3.5341194094144583,12.49,4.099999999999994,8.6,2.0,0.8556886673938244,6.6,-0.022800000000000112
0.05,0.46,0.49,0.0,0.0,0.0,0.0,0.0,1.8585,0.027069355367278242,0.0007327499999999953,0.05149999999999988,128.17000000000002,3.5413415537053186,12.5411,4.170000000000016,8.59,2.0,0.8565313020453507,6.59,-0.021250000000000102
0.05,0.47,0.48,0.0,0.0,0.0,0.0,0.0,1.8579999999999999,0.02712931993250099,0.0007359999999999954,0.052000000000000046,128.24,3.547167884383258,12.5824,4.240000000000009,8.58,2.0,0.8569524324650262,6.58,-0.021250000000000102
0.05,0.48,0.47,0.0,0.0,0.0,0.0,0.0,1.8575,0.027179955849853683,0.0007387499999999954,0.05249999999999999,128.31,3.5516052708599246,12.6139,4.310000000000002,8.57,2.0,0.8569524324650262,6.57,-0.02698333333333351
0.05,0.49,0.46,0.0,0.0,0.0,0.0,0.0,1.8570000000000002,0.027221315177632315,0.0007409999999999955,0.052999999999999714,128.38,3.5546589147202297,12.6356,4.3799999999999955,8.56,2.0,0.8565313020453507,6.5600000000000005,-0.02686666666666684
0.05,0.5,0.45,0.0,0.0,0.0,0.0,0.0,1.8565,0.027253440149823206,0.0007427499999999956,0.05349999999999988,128.45,3.5563323804166562,12.6475,4.449999999999989,8.55,2.0,0.8556886673938244,6.55,-0.026833333333333508
0.05,0.51,0.44,0.0,0.0,0.0,0.0,0.0,1.8559999999999999,0.02727636339397163,0.0007439999999999956,0.05400000000000005,128.52,3.5566276161555064,12.6496,4.52000000000001,8.54,2.0,0.8544237788911003,6.54,-0.026533333333333506
0.05,0.52,0.43,0.0,0.0,0.0,0.0,0.0,1.8555000000000001,0.027290108097990293,0.0007447499999999954,0.05449999999999977,128.59,3.555544965262006,12.6419,4.590000000000003,8.530000000000001,2.0,0.8527355070939673,6.529999999999999,-0.026266666666666834
0.05,0.53,0.42,0.0,0.0,0.0,0.0,0.0,1.855,0.02729468812791228,0.0007449999999999956,0.05499999999999994,128.66000000000003,3.5530831681794335,12.6244,4.660000000000025,8.52,2.0,0.8506223366429021,6.52,-0.03031666666666683
0.05,0.54,0.41,0.0,0.0,0.0,0.0,0.0,1.8545,0.027290108097990293,0.0007447499999999954,0.05549999999999988,128.73000000000002,3.5492393551294903,12.5971,4.730000000000018,8.51,2.0,0.848082358011067,6.51,-0.011266666666666628
0.05,0.55,0.4,0.0,0.0,0.0,0.0,0.0,1.854,0.02727636339397163,0.0007439999999999956,0.05599999999999983,128.8,3.5440090293338704,12.560000000000002,4.800000000000011,8.5,2.0,0.8451132569811078,6.5,-0.01099999999999996
0.05,0.56,0.39,0.0,0.0,0.0,0.0,0.0,1.8535,0.027253440149823206,0.0007427499999999956,0.056499999999999995,128.87,3.5373860405672435,12.5131,4.8700000000000045,8.49,2.0,0.8417123017022958,6.49,-0.011066666666666624
0.05,0.57,0.38,0.0,0.0,0.0,0.0,0.0,1.8529999999999998,0.027221315177632318,0.0007409999999999956,0.05700000000000016,128.94,3.5293625486764606,12.456400000000002,4.939999999999998,8.48,2.0,0.8378763271428212,6.48,-0.011316666666666626
0.05,0.58,0.37,0.0,0.0,0.0,0.0,0.0,1.8524999999999998,0.027179955849853683,0.0007387499999999954,0.05750000000000011,129.01,3.519928976556203,12.3899,5.009999999999991,8.469999999999999,2.0,0.8336017167092551,6.469999999999999,-0.01078333333333329
0.05,0.59,0.36,0.0,0.0,0.0,0.0,0.0,1.8519999999999999,0.027129319932500992,0.0007359999999999957,0.05800000000000005,129.07999999999998,3.5090739519138094,12.313600000000001,5.079999999999984,8.459999999999999,2.0,0.8288843807559674,6.46,-0.010849999999999955
0.05,0.6,0.35,0.0,0.0,0.0,0.0,0.0,1.8515,0.027069355367278246,0.0007327499999999956,0.058499999999999996,129.15,3.4967842369811724,12.2275,5.150000000000006,8.45,2.0,0.8237197316499862,6.449999999999999,-0.010716666666666624
0.05,0.61,0.34,0.0,0.0,0.0,0.0,0.0,1.851,0.02699999999999992,0.0007289999999999957,0.05899999999999994,129.22,3.4830446451344836,12.1316,5.219999999999999,8.44,2.0,0.8181026549893267,6.440000000000001,-0.010566666666666624
0.05,0.62,0.33,0.0,0.0,0.0,0.0,0.0,1.8504999999999998,0.026921181251943527,0.0007247499999999957,0.05950000000000011,129.29000000000002,3.4678379431570905,12.0259,5.2900000000000205,8.43,2.0,0.8120274764926462,6.43,-0.010549999999999957
0.05,0.63,0.32,0.0,0.0,0.0,0.0,0.0,1.85,0.026832815729997395,0.0007199999999999956,0.05999999999999983,129.36,3.451144737619679,11.910400000000003,5.360000000000014,8.42,2.0,0.8054879239819632,6.420000000000001,-0.011033333333333289
0.05,0.64,0.31,0.0,0.0,0.0,0.0,0.0,1.8495,0.026734808770589622,0.0007147499999999958,0.0605,129.43,3.4329433435464676,11.7851,5.430000000000007,8.41,2.0,0.7984770837639561,6.41,-0.0087833333333333
0.05,0.65,0.3,0.0,0.0,0.0,0.0,0.0,1.8489999999999998,0.026627053911388615,0.0007089999999999958,0.061000000000000165,129.5,3.4132096331752027,11.650000000000002,5.5,8.4,2.0,0.7909873505737307,6.4,-0.008733333333333303
0.05,0.66,0.29,0.0,0.0,0.0,0.0,0.0,1.8485,0.026509432283623048,0.0007027499999999959,0.06149999999999989,129.57,3.3919168621886944,11.505099999999999,5.569999999999993,8.39,2.0,0.7830103700710231,6.390000000000001,-0.0008666666666666681
0.05,0.67,0.28,0.0,0.0,0.0,0.0,0.0,1.848,0.02638181191654576,0.0006959999999999959,0.06199999999999983,129.64000000000001,3.3690354702792904,11.350399999999999,5.640000000000015,8.38,2.0,0.774536972663537,6.380000000000001,0.003849999999999994
0.05,0.68,0.27,0.0,0.0,0.0,0.0,0.0,1.8475000000000001,0.026244046944021344,0.000688749999999996,0.06249999999999978,129.71,3.344532852282961,11.1859,5.710000000000008,8.370000000000001,2.0,0.76555709716362,6.370000000000001,0.004133333333333329
0.05,0.69,0.26,0.0,0.0,0.0,0.0,0.0,1.847,0.026095976701399702,0.0006809999999999961,0.06299999999999994,129.78,3.3183730953586275,11.011599999999998,5.780000000000001,8.36,2.0,0.7560597024468472,6.36,0.004166666666666662
0.05,0.7,0.25,0.0,0.0,0.0,0.0,0.0,1.8464999999999998,0.025937424698685797,0.000672749999999996,0.06350000000000011,129.85,3.2905166767545793,10.8275,5.849999999999994,8.35,2.0,0.7460326648529398,6.35,0.004283333333333327
0.05,0.71,0.24,0.0,0.0,0.0,0.0,0.0,1.8459999999999996,0.025768197453450176,0.0006639999999999962,0.06400000000000028,129.92000000000002,3.2609201155502108,10.6336,5.920000000000016,8.34,2.0,0.7354626585217006,6.34,0.004699999999999995
0.05,0.72,0.23,0.0,0.0,0.0,0.0,0.0,1.8455,0.025588083163847898,0.0006547499999999963,0.0645,129.99,3.2295355703258632,10.429899999999998,5.990000000000009,8.33,2.0,0.7243350151492771,6.330000000000001,0.004666666666666661
0.05,0.73,0.22,0.0,0.0,0.0,0.0,0.0,1.845,0.025396850198400513,0.0006449999999999962,0.06499999999999995,130.06,3.19631037291437,10.216399999999998,6.060000000000002,8.32,2.0,0.7126335587273864,6.32,0.006200000000000002
0.05,0.74,0.21,0.0,0.0,0.0,0.0,0.0,1.8445,0.02519424537468817,0.0006347499999999962,0.06549999999999989,130.13,3.1611864861156165,9.993099999999998,6.1299999999999955,8.31,2.0,0.700340409611537,6.31,0.0056833333333333345
0.05,0.75,0.2,0.0,0.0,0.0,0.0,0.0,1.8439999999999999,0.02497999199359352,0.0006239999999999964,0.06600000000000006,130.2,3.1240998703626617,9.76,6.199999999999989,8.3,2.0,0.6874357506415103,6.300000000000001,0.005750000000000002
0.05,0.76,0.19,0.0,0.0,0.0,0.0,0.0,1.8435,0.024753787588973057,0.0006127499999999965,0.0665,130.27,3.0849797406141906,9.5171,6.27000000000001,8.29,2.0,0.673897545845306,6.290000000000001,0.03881666666666666
0.05,0.77,0.18,0.0,0.0,0.0,0.0,0.0,1.843,0.024515301344262455,0.0006009999999999965,0.06699999999999995,130.34,3.043747689937522,9.264400000000002,6.340000000000003,8.28,2.0,0.6597011992558952,6.28,0.03866666666666667
0.05,0.78,0.17,0.0,0.0,0.0,0.0,0.0,1.8424999999999998,0.02426417111710179,0.0005887499999999968,0.06750000000000012,130.41000000000003,3.000316649955468,9.001900000000001,6.410000000000025,8.27,2.0,0.644819137197103,6.2700000000000005,0.03901666666666668
0.05,0.79,0.16,0.0,0.0,0.0,0.0,0.0,1.842,0.02399999999999993,0.0005759999999999967,0.06799999999999984,130.48000000000002,2.9545896500191025,8.729600000000003,6.480000000000018,8.26,2.0,0.6292202914972295,6.260000000000001,0.03900000000000001
0.05,0.8,0.15,0.0,0.0,0.0,0.0,0.0,1.8415000000000001,0.02372235232855285,0.0005627499999999968,0.06849999999999978,130.55,2.906458325866724,8.4475,6.550000000000011,8.25,2.0,0.6128694526001046,6.250000000000001,0.03866666666666668
0.05,0.81,0.14,0.0,0.0,0.0,0.0,0.0,1.8410000000000002,0.0234307490277199,0.0005489999999999971,0.06899999999999973,130.62,2.855801113523139,8.1556,6.6200000000000045,8.24,2.0,0.5957264490737297,6.240000000000001,0.038800000000000015
0.05,0.82,0.13,0.0,0.0,0.0,0.0,0.0,1.8404999999999998,0.023124662159694293,0.0005347499999999971,0.06950000000000012,130.69,2.802481043646861,7.853899999999999,6.689999999999998,8.23,2.0,0.5777450912778541,6.23,0.03893333333333335
